Crs & Sec,CRN,Title,Cred,Days,Time,Room,Instructor,Notes,Grad. Reqs.,Seats Left
CHE-498-A,20683,Honors Polymer Research,1,,,,El-Zaatari B,,,25
CHE-498-B,20686,Honors Research: Glycoscience,1,,,,Snyder N,,,25
CHE-498-C,20845,Honors Thesis Research,1,,,,Key H,,,25
CHI-102-A,20106,Elementary Chinese II,1,MWF,9:30 AM - 10:20 AM,CHAM B027,Chen N,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""},{""code"":""AT"",""description"":""Students must attend one weekly AT session, meeting times TBD""}]",,25
CHI-102-B,20107,Elementary Chinese II,1,MWF,10:30 AM - 11:20 AM,CHAM B027,Chen N,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""},{""code"":""AT"",""description"":""Students must attend one weekly AT session, meeting times TBD""}]",,25
CHI-202-A,20108,Intermediate Chinese II,1,MWF,1:30 PM - 2:20 PM,CHAM 2187,Chen N,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""},{""code"":""AT"",""description"":""Students must attend one weekly AT session, meeting times TBD""}]",,25
CHI-207-A,20109,Engendering Chinese Cinema,1,W,1:30 PM - 4:20 PM,CHAM 3068,Shen V,"[{""code"":""IN-ENGL"",""description"":""In English""}]",,25
CHI-302-A,20110,Advanced Chinese II,1,TR,12:15 PM - 1:30 PM,CHAM 3209,Shen V,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""},{""code"":""AT"",""description"":""Students must attend one weekly AT session, meeting times TBD""}]",,25
CHI-451-A,20572,Advanced Chinese,1,TR,1:40 PM - 2:55 PM,CHAM 3209,Shen V,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CHI-495-A,20660,Chinese Cinema,1,,,,Shen V,,,25
CIS-215-A,20571,The Art & Practice of Reading,1,MWF,10:30 AM - 12:20 PM,CHAM 1045,Snyder G,,,25
CIS-496-A,20113,Thesis II,1,,,,Crandall B,"[{""code"":""34"",""description"":""Juniors and Seniors only""}]",,25
CLA-233-A,20114,Athenian Law in Action,1,MWF,8:30 AM - 9:20 AM,CHAM 3106,Krentz P,,,25
CLA-235-A,20115,Families of Anc Mediterranean,1,MW,2:30 PM - 3:45 PM,CHAM 2068,Truetzel A,,,25
CLA-255-A,20116,Greek and Roman Athletics,1,MWF,1:30 PM - 2:20 PM,CHAM HANCE,Smith A,,,25
CLA-399-A,20813,In Search of Ariadne,1,,,,Cheshire K,,,25
CLA-456-A,20117,Coins and the Ancient Economy,1,TR,1:40 PM - 2:55 PM,CHAM 3196,Truetzel A,,,25
CLA-499-A,20828,Honors Thesis,1,,,,Cheshire K,,,25
COM-101-A,20118,Princ of Oral Communication,1,TR,9:40 AM - 10:55 AM,CHAM B027,Smith J,,,25
COM-101-B,20119,Princ of Oral Communication,1,TR,8:15 AM - 9:30 AM,CHAM B027,Smith J,,,25
COM-101-C,20120,Princ of Oral Communication,1,MWF,12:30 PM - 1:20 PM,CHAM B027,Pollard E,,,25
COM-203-A,20122,Communication Research Methods,1,MW,2:30 PM - 3:45 PM,CHAM 1003,Martinez A,,,25
COM-207-A,20123,"Politics, Race, & US Media",1,TR,1:40 PM - 2:55 PM,CHAM 1027,Bailey I,,,25
COM-230-A,20610,Organizational Communication,1,MWF,11:30 AM - 12:20 PM,CHAM 1006,Pollard E,,,25
COM-325-A,20124,Exploring Fake News,1,TR,3:05 PM - 4:20 PM,CHAM 1046,Bailey I,,,25
COM-365-A,20125,Rhetorics of Justice & Equal,1,TR,12:15 PM - 1:30 PM,CHAM 2196,Smith J,,,25
COM-390-A,20126,Research Ethics,1,F,1:30 PM - 4:20 PM,WALL 307,Bailey I,,,25
COM-495-A,20127,Comm Theory & Research,1,R,1:40 PM - 4:20 PM,CHAM 2187,Martinez A,"[{""code"":""PRM"",""description"":""Permission of instructor required""}]",,25
COM-497-A,20794,Thesis Research,1,,,,Martinez A,,,25
CSC-110-A,20128,Data Science & Society,1,MW,2:30 PM - 3:45 PM,WATSON 132,Benbow P,,,25
CSC-121-A,20129,Programming & Problem Solving,1,MW,8:05 AM - 9:20 AM,WATSON 132,Williams K,"[{""code"":""R"",""description"":""Course has restrictions; see course description""}]",,25
CSC-121-B,20130,Programming & Problem Solving,1,TR,9:40 AM - 10:55 AM,WATSON 247,Peck T,"[{""code"":""R"",""description"":""Course has restrictions; see course description""}]",,25
CSC-121-C,20131,Programming & Problem Solving,1,TR,3:05 PM - 4:20 PM,WATSON 132,Ramanujan R,"[{""code"":""R"",""description"":""Course has restrictions; see course description""}]",,25
CSC-220-A,20134,Discrete Structures,1,TR,9:40 AM - 10:55 AM,WATSON 243,Blake H,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""},{""code"":""XLST"",""description"":""Cross-listed; see course description for equivalent course (registration may be changed later if needed).""}]",,25
CSC-221-A,20135,Data Structures,1,MWF,9:30 AM - 10:20 AM,WATSON 132,Lim T,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""},{""code"":""AT-CSCLABS"",""description"":""Students must attend weekly CSC AT session""}]",,25
CSC-221-B,20136,Data Structures,1,MWF,10:30 AM - 11:20 AM,WATSON 132,Lim T,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CSC-221-C,20137,Data Structures,1,MWF,1:30 PM - 2:20 PM,WATSON 132,Mendes H,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CSC-250-A,20138,Computer Organization,1,TR,8:15 AM - 9:30 AM,WATSON 243,Nemitz C,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CSC-312-A,20139,Software Design,1,TR,9:40 AM - 10:55 AM,WATSON 157,Lim T,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CSC-321-A,20141,Analysis of Algorithms,1,TR,8:15 AM - 9:30 AM,CHAM 2234,Yerger C,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CSC-353-A,20142,Database Systems,1,MWF,9:30 AM - 10:20 AM,WATSON 243,Mendes H,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CSC-353-B,20143,Database Systems,1,MWF,10:30 AM - 11:20 AM,WATSON 243,Mendes H,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CSC-358-A,20144,Real-Time Systems,1,TR,12:15 PM - 1:30 PM,WATSON 147,Nemitz C,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CSC-362-A,20145,Data Visualization,1,MW,2:30 PM - 3:45 PM,WATSON 247,Williams K,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CSC-364-A,20146,Image Processing,1,TR,1:40 PM - 2:55 PM,WATSON 247,Peck T,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CSC-395-A,20728,The Test Code Quality Analysis,1,,,,Lim T,,,25
CSC-395-B,20744,RL for LLMs,1,,,,Ramanujan R,,,25
CSC-395-C,20760,JIT Compiler Visualization Dev,1,,,,Williams K,,,25
CSC-395-D,20761,VR Independent Research,1,,,,Peck T,,,25
CSC-395-E,20768,Machine Learning Systems,1,,,,Ramanujan R,,,25
CSC-395-F,20769,Data Analysis and VR research,1,,,,Peck T,,,25
CSC-395-G,20814,Reverse Engineering JIT Code,1,,,,Lim T,,,25
CSC-395-H,20817,Computer Architecture & FPGAs,1,,,,Mendes H,,,25
CSC-395-I,20838,Deep Learning for Nuclear Phy,1,,,,Kuchera M,,,25
CSC-496-A,20816,Multiparty Computation - SPDZ,1,,,,Mendes H,,,25
DAN-101-A,20147,Introduction to Dance Studies,1,MWF,10:30 AM - 11:20 AM,BAKER 1102,Nambiar A,,,25
DAN-140-A,20148,Movement Lab,1,MW,9:30 AM - 11:20 AM,BAKER 1100,Davis J,,,25
DAN-246-A,20149,Odissi Dance Technique I,1,MW,2:30 PM - 4:20 PM,BAKER 1100,Nambiar A,,,25
DAN-260-A,20150,Dance Composition,1,MW,11:30 AM - 1:20 PM,BAKER 1100,Davis J,"[{""code"":""XLST"",""description"":""Cross-listed; see course description for equivalent course (registration may be changed later if needed).""}]",,25
DAN-294-A,20151,Dance on Screen,1,MWF,12:30 PM - 1:20 PM,CHAM 1086,Nambiar A,,,25
DAN-360-A,20152,Adv Dance Composition,1,MW,11:30 AM - 1:20 PM,BAKER 1100,Davis J,"[{""code"":""XLST"",""description"":""Cross-listed; see course description for equivalent course (registration may be changed later if needed).""}]",,25
DAT-205-A,20153,Statistical Linear Models,1,MWF,1:30 PM - 2:20 PM,WATSON 247,Wang K,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
DAT-385-A,20615,Forecasting,1,MWF,12:30 PM - 1:20 PM,CHAM 1096,Jha J,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
DAT-395-A,20632,Data Engineering,1,,,,Benbow P,,,25
DIG-101-A,20155,Intro to Digital Studies,1,MWF,12:30 PM - 1:20 PM,WATSON 109,Heggestad J,,,25
DIG-220-A,20156,Electronic Literature,1,MWF,1:30 PM - 2:20 PM,WATSON 109,Heggestad J,,,25
DIG-320-A,20157,"Technology, Knowledge & Wisdom",1,TR,8:15 AM - 9:30 AM,SLOAN 201,Kabala J,,,25
DIG-333-A,20158,Physical Computing,1,MW,2:30 PM - 3:45 PM,VAC 212,Mundy O,,,25
DIG-345-A,20159,Radical Software,1,MWF,11:30 AM - 12:20 PM,VAC 212,Mundy O,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
DIG-395-A,20693,Independent Study,1,,,,Dietrick J,,,25
DIG-395-B,20820,Semantic Information Systems,1,,,,Mundy O,,,25
ECO-101-A,20160,Introductory Economics,1,TR,9:40 AM - 10:55 AM,DANA 146,Smith F,,,25
ECO-101-B,20161,Introductory Economics,1,TR,12:15 PM - 1:30 PM,DANA 146,Smith F,,,25
ECO-101-C,20162,Introductory Economics,1,MWF,1:30 PM - 2:20 PM,CHAM 2084,Denteh A,,,25
ECO-101-D,20163,Introductory Economics,1,MWF,9:30 AM - 10:20 AM,WATSON 157,Cools A,,,25
ECO-202-A,20164,Intermed Microeconomic Theory,1,TR,9:40 AM - 10:55 AM,CHAM 3155,O'Keefe S,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
ECO-202-B,20165,Intermed Microeconomic Theory,1,TR,12:15 PM - 1:30 PM,WATSON 119,O'Keefe S,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
ECO-203-A,20166,Intermed Macroeconomic Theory,1,TR,8:15 AM - 9:30 AM,CHAM 3155,Kumar V,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
ECO-203-B,20167,Intermed Macroeconomic Theory,1,TR,12:15 PM - 1:30 PM,CHAM 3155,Kumar V,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
